Date,Time,kWh
01-01-2023,00:00:00,178.5
01-01-2023,00:15:00,231
01-01-2023,00:30:00,252
01-01-2023,00:45:00,250.5
01-01-2023,01:00:00,246
01-01-2023,01:15:00,265.5
01-01-2023,01:30:00,261
01-01-2023,01:45:00,249
01-01-2023,02:00:00,252
01-01-2023,02:15:00,255
01-01-2023,02:30:00,262.5
01-01-2023,02:45:00,273
01-01-2023,03:00:00,265.5
01-01-2023,03:15:00,273
01-01-2023,03:30:00,258
01-01-2023,03:45:00,247.5
01-01-2023,04:00:00,238.5
01-01-2023,04:15:00,232.5
01-01-2023,04:30:00,243
01-01-2023,04:45:00,268.5
01-01-2023,05:00:00,282
01-01-2023,05:15:00,273
01-01-2023,05:30:00,274.5
01-01-2023,05:45:00,261
01-01-2023,06:00:00,265.5
01-01-2023,06:15:00,259.5
01-01-2023,06:30:00,261
01-01-2023,06:45:00,253.5
01-01-2023,07:00:00,262.5
01-01-2023,07:15:00,252
01-01-2023,07:30:00,240
01-01-2023,07:45:00,228
01-01-2023,08:00:00,231
01-01-2023,08:15:00,246
01-01-2023,08:30:00,252
01-01-2023,08:45:00,261
01-01-2023,09:00:00,255
01-01-2023,09:15:00,262.5
01-01-2023,09:30:00,265.5
01-01-2023,09:45:00,270
01-01-2023,10:00:00,273
01-01-2023,10:15:00,285
01-01-2023,10:30:00,276
01-01-2023,10:45:00,262.5
01-01-2023,11:00:00,259.5
01-01-2023,11:15:00,261
01-01-2023,11:30:00,258
01-01-2023,11:45:00,220.5
01-01-2023,12:00:00,216
01-01-2023,12:15:00,208.5
01-01-2023,12:30:00,184.5
01-01-2023,12:45:00,201
01-01-2023,13:00:00,216
01-01-2023,13:15:00,243
01-01-2023,13:30:00,243
01-01-2023,13:45:00,243
01-01-2023,14:00:00,207
01-01-2023,14:15:00,208.5
01-01-2023,14:30:00,223.5
01-01-2023,14:45:00,202.5
01-01-2023,15:00:00,217.5
01-01-2023,15:15:00,192
01-01-2023,15:30:00,184.5
01-01-2023,15:45:00,180
01-01-2023,16:00:00,190.5
01-01-2023,16:15:00,183
01-01-2023,16:30:00,187.5
01-01-2023,16:45:00,186
01-01-2023,17:00:00,198
01-01-2023,17:15:00,211.5
01-01-2023,17:30:00,205.5
01-01-2023,17:45:00,202.5
01-01-2023,18:00:00,210
01-01-2023,18:15:00,208.5
01-01-2023,18:30:00,226.5
01-01-2023,18:45:00,267
01-01-2023,19:00:00,295.5
01-01-2023,19:15:00,342
01-01-2023,19:30:00,337.5
01-01-2023,19:45:00,343.5
01-01-2023,20:00:00,345
01-01-2023,20:15:00,343.5
01-01-2023,20:30:00,360
01-01-2023,20:45:00,366
01-01-2023,21:00:00,364.5
01-01-2023,21:15:00,369
01-01-2023,21:30:00,372
01-01-2023,21:45:00,361.5
01-01-2023,22:00:00,352.5
01-01-2023,22:15:00,367.5
01-01-2023,22:30:00,378
01-01-2023,22:45:00,376.5
01-01-2023,23:00:00,372
01-01-2023,23:15:00,375
01-01-2023,23:30:00,363
01-01-2023,23:45:00,355.5
02-01-2023,00:00:00,360
02-01-2023,00:15:00,363
02-01-2023,00:30:00,352.5
02-01-2023,00:45:00,355.5
02-01-2023,01:00:00,361.5
02-01-2023,01:15:00,369
02-01-2023,01:30:00,376.5
02-01-2023,01:45:00,379.5
02-01-2023,02:00:00,355.5
02-01-2023,02:15:00,352.5
02-01-2023,02:30:00,346.5
02-01-2023,02:45:00,360
02-01-2023,03:00:00,336
